0,3,2,1,3,1,1,2
0,2,2,3,2,1,1,8
0,1,2,4,4,1,1,2
0,3,2,5,3,1,1,8
0,1,2,6,3,1,1,8
0,1,2,7,1,1,1,2
0,2,2,7,2,1,1,2
0,2,2,7,3,1,1,2
1,1,2,7,3,1,1,2
0,3,1,9,1,1,1,8
0,3,1,9,2,1,1,8
0,3,2,9,2,1,1,8
0,1,2,10,2,1,1,8
1,3,2,12,1,1,1,1
1,2,2,12,1,1,1,2
1,3,2,12,1,1,1,2
1,3,2,12,1,1,1,2
1,2,2,12,1,1,1,2
1,3,2,12,1,1,1,2
1,2,2,12,1,1,1,2
1,3,2,12,1,1,1,2
1,3,2,12,1,1,1,2
1,2,2,12,1,1,1,2
1,2,2,12,1,1,1,2
1,3,2,12,1,1,1,2
1,2,2,12,1,1,1,5
1,3,2,12,1,1,1,8
0,3,2,13,1,1,1,6
1,3,1,14,2,1,1,2
1,3,1,15,1,1,1,1
0,3,1,15,1,1,1,1
0,3,1,15,1,1,1,1
1,3,1,15,1,1,1,2
1,3,1,15,1,1,1,2
1,3,1,15,1,1,1,2
1,3,1,15,1,1,1,2
1,2,1,15,1,1,1,2
1,3,1,15,1,1,1,2
1,3,1,15,1,1,1,2
1,3,1,15,1,1,1,2
1,3,1,15,1,1,1,2
1,3,1,15,1,1,1,2
0,3,1,15,1,1,1,2
1,3,1,15,1,1,1,2
0,3,1,15,1,1,1,2
1,3,1,15,1,1,1,2
1,1,1,15,1,1,1,2
1,3,1,15,1,1,1,2
1,3,1,15,1,1,1,2
1,3,1,15,1,1,1,2
1,3,1,15,1,1,1,2
1,2,1,15,1,1,1,2
0,3,1,15,1,1,1,2
1,2,1,15,1,1,1,2
0,3,1,15,1,1,1,2
1,3,1,15,1,1,1,2
0,3,1,15,1,1,1,2
1,2,1,15,1,1,1,2
1,3,1,15,1,1,1,2
1,2,1,15,1,1,1,2
1,3,1,15,1,1,1,2
0,3,1,15,1,1,1,2
0,3,1,15,1,1,1,2
1,2,1,15,1,1,1,2
